movement,outcome,n,mean,median,q25,q75,min,max
Foam-Quiet-Standing-Eyes-Closed,RDIST,57,0.9712280701754386,0.87,0.74,1.16,0.4,2.05
Foam-Quiet-Standing-Eyes-Closed,MVELO,57,1.433859649122807,1.23,1.01,1.65,0.61,3.37
Foam-Quiet-Standing-Eyes-Closed,MFREQ,57,0.2692982456140351,0.25,0.21,0.32,0.14,0.65
Foam-Quiet-Standing-Eyes-Closed,AREA_CE,57,8.767368421052632,6.26,4.49,11.12,1.33,39.37
Foam-Quiet-Standing-Eyes-Open,RDIST,57,0.6642105263157895,0.63,0.51,0.82,0.31,1.28
Foam-Quiet-Standing-Eyes-Open,MVELO,57,0.8964912280701754,0.82,0.6,1.08,0.35,2.44
Foam-Quiet-Standing-Eyes-Open,MFREQ,57,0.24719298245614035,0.23,0.18,0.29,0.1,0.87
Foam-Quiet-Standing-Eyes-Open,AREA_CE,57,3.666315789473684,2.88,1.91,4.9,0.47,12.1
Quiet-Standing-Eyes-Closed,RDIST,87,0.4942528735632184,0.46,0.305,0.62,0.13,1.52
Quiet-Standing-Eyes-Closed,MVELO,87,0.6309195402298851,0.54,0.385,0.73,0.18,2.84
Quiet-Standing-Eyes-Closed,MFREQ,87,0.24022988505747125,0.21,0.18,0.27,0.11,0.83
Quiet-Standing-Eyes-Closed,AREA_CE,87,1.9948275862068967,1.3,0.65,2.325,0.07,14.19
Quiet-Standing-Eyes-Open,RDIST,85,0.4503529411764706,0.4,0.27,0.57,0.12,1.32
Quiet-Standing-Eyes-Open,MVELO,85,0.595764705882353,0.47,0.35,0.67,0.19,2.92
Quiet-Standing-Eyes-Open,MFREQ,85,0.2436470588235294,0.22,0.17,0.28,0.09,0.77
Quiet-Standing-Eyes-Open,AREA_CE,85,1.5945882352941176,1.01,0.46,1.73,0.12,9.37
Semi-Tandem-Balance,RDIST,83,0.6063855421686747,0.52,0.37,0.735,0.18,2.8
Semi-Tandem-Balance,MVELO,83,0.8885542168674698,0.61,0.48,0.99,0.28,11.1
Semi-Tandem-Balance,MFREQ,83,0.24843373493975904,0.23,0.185,0.28,0.12,0.74
Semi-Tandem-Balance,AREA_CE,83,2.675903614457831,1.68,0.965,3.075,0.27,16.54
Tandem-Balance,RDIST,77,0.642077922077922,0.56,0.39,0.78,0.12,1.56
Tandem-Balance,MVELO,77,1.058831168831169,0.9,0.61,1.28,0.22,5.11
Tandem-Balance,MFREQ,77,0.31935064935064933,0.29,0.22,0.4,0.09,0.83
Tandem-Balance,AREA_CE,77,3.076883116883117,1.81,0.9,3.82,0.06,16.53
Unilateral-Stance-Eyes-Closed,RDIST,23,1.7351696595359358,1.496572370904456,0.7498804990732825,2.247128270715466,0.5048241852214875,5.439963105249462
Unilateral-Stance-Eyes-Closed,MVELO,23,1.4306949105580973,1.1890352011966123,0.8390558369290004,2.0549014120787006,0.1060236974734418,4.0256961711233865
Unilateral-Stance-Eyes-Closed,MFREQ,23,0.1566018219021112,0.1621529127988131,0.13553398323484434,0.18004199253224884,0.0190709095425096,0.2317902459337929
Unilateral-Stance-Eyes-Closed,AREA_CE,23,19.87913043478261,10.63,2.725,22.6,1.43,153.58
Unilateral-Stance-Eyes-Open,RDIST,48,0.6751122554002871,0.6263764660256714,0.4494171026261504,0.761192952254973,0.2296767352896777,2.4004616967156656
Unilateral-Stance-Eyes-Open,MVELO,48,0.4790193408380297,0.45570536916134363,0.3454763923569435,0.5447185270066889,0.0649169030637959,1.629148137693018
Unilateral-Stance-Eyes-Open,MFREQ,48,0.13508611612808658,0.13549443455458438,0.1143110382777213,0.15746676590306405,0.0150938266831347,0.2237663404883056
Unilateral-Stance-Eyes-Open,AREA_CE,48,2.0729166666666665,1.385,0.7375,2.1325000000000003,0.24,10.82
